TotalCharges,TotalCharges,tenure,Churn
7849.85,7849.85,68,No
649.4,649.4,13,No
4557.5,4557.5,56,No
3013.05,3013.05,38,Yes
1266.1,1266.1,14,Yes
360.35,360.35,16,No
1046.5,1046.5,14,No
2347.9,2347.9,32,Yes
447.75,447.75,8,No
4209.95,4209.95,43,No
3877.65,3877.65,52,No
152.3,152.3,3,No
572.2,572.2,29,No
19.65,19.65,1,Yes
526.95,526.95,12,Yes
552.7,552.7,16,No
3208.65,3208.65,40,No
210.75,210.75,5,Yes
3706.95,3706.95,40,Yes
620.75,620.75,36,No
412.5,412.5,5,Yes
832.05,832.05,10,Yes
185.55,185.55,2,Yes
1943.2,1943.2,23,Yes
505.9,505.9,26,No
8046.85,8046.85,72,No
1815.3,1815.3,34,No
612.95,612.95,10,No
795.15,795.15,14,No
2169.8,2169.8,23,Yes
973.1,973.1,47,No
2210.2,2210.2,24,No
4853.75,4853.75,49,Yes
1055.9,1055.9,20,No
144.55,144.55,2,Yes
91.1,91.1,2,Yes
1304.85,1304.85,22,No
713,713,7,Yes
21.1,21.1,1,No
5580.8,5580.8,59,No
1497.9,1497.9,58,No
4527.45,4527.45,41,Yes
4590.35,4590.35,59,No
200.2,200.2,3,No
614.45,614.45,32,No
4564.9,4564.9,46,No
171.15,171.15,2,Yes
1012.4,1012.4,52,No
940.35,940.35,13,Yes
1047.7,1047.7,11,Yes
2766.4,2766.4,32,No
1622.45,1622.45,17,Yes
1129.35,1129.35,16,No
5680.9,5680.9,51,No
2243.9,2243.9,29,No
4523.25,4523.25,70,No
7159.7,7159.7,71,No
2839.95,2839.95,41,No
80.55,80.55,1,No
580.1,580.1,7,No
2178.6,2178.6,25,Yes
6038.55,6038.55,67,No
259.4,259.4,5,No
324.15,324.15,15,No
417.65,417.65,20,No
168.15,168.15,3,Yes
5637.85,5637.85,54,No
839.4,839.4,42,No
769.1,769.1,9,No
6253,6253,63,No
1641.8,1641.8,69,No
1678.05,1678.05,69,No
2058.5,2058.5,40,No
2424.5,2424.5,60,No
387.2,387.2,4,Yes
6293.45,6293.45,71,No
2839.65,2839.65,37,Yes
3145.9,3145.9,32,No
2200.7,2200.7,39,No
914.4,914.4,38,No
4577.75,4577.75,52,No
4997.5,4997.5,48,No
4144.8,4144.8,70,No
1493.55,1493.55,20,No
4179.1,4179.1,50,No
893.55,893.55,19,Yes
1611,1611,25,No
593.05,593.05,12,No
4284.8,4284.8,39,Yes
544.55,544.55,7,Yes
1533.8,1533.8,23,No
529.8,529.8,27,No
3865.6,3865.6,47,No
515.75,515.75,26,No
941,941,14,Yes
1133.65,1133.65,11,Yes
48.35,48.35,2,No
2070.05,2070.05,26,No
8333.95,8333.95,72,No
1209.25,1209.25,63,No
1396.25,1396.25,71,No
723.35,723.35,11,No
228.65,228.65,14,No
1161.75,1161.75,13,No
98.35,98.35,6,No
775.3,775.3,11,No
1074.65,1074.65,18,No
35.55,35.55,1,Yes
2324.7,2324.7,32,No
1072.6,1072.6,29,No
170.5,170.5,3,No
196.9,196.9,2,Yes
1162.85,1162.85,13,Yes
1677.85,1677.85,41,No
18.85,18.85,1,No
370.4,370.4,7,No
3410.6,3410.6,52,No
1138.8,1138.8,45,No
5264.25,5264.25,70,No
1005.7,1005.7,53,No
5936.55,5936.55,62,No
5475.9,5475.9,60,No
224.05,224.05,3,Yes
2326.05,2326.05,23,No
31.35,31.35,1,Yes
4991.5,4991.5,67,No
1052.4,1052.4,12,Yes
5831.2,5831.2,71,No
510.8,510.8,25,No
283.95,283.95,5,No
1295.4,1295.4,26,No
19.65,19.65,1,No
3011.65,3011.65,70,No
8093.15,8093.15,72,No
5610.25,5610.25,60,Yes
3217.65,3217.65,32,No
19.85,19.85,1,Yes
773.2,773.2,14,No
1029.35,1029.35,13,No
669.45,669.45,6,Yes
3593.8,3593.8,46,No
1553.95,1553.95,15,Yes
3953.15,3953.15,43,No
1971.15,1971.15,39,No
1236.15,1236.15,21,Yes
3196,3196,57,No
4872.2,4872.2,53,No
1500.5,1500.5,18,No
60.15,60.15,1,Yes
3478.75,3478.75,58,No
7413.55,7413.55,71,No
3532,3532,35,No
256.75,256.75,3,No
3887.25,3887.25,38,No
2490.15,2490.15,35,No
593.45,593.45,7,Yes
3510.3,3510.3,47,No
765.45,765.45,14,No
1259.35,1259.35,20,No
5538.35,5538.35,66,No
340.85,340.85,15,No
844.45,844.45,42,No
1348.95,1348.95,17,No
3778,3778,37,No
611.65,611.65,12,No
4867.95,4867.95,53,Yes
1505.05,1505.05,60,No
467.85,467.85,18,No
74.9,74.9,1,Yes
194.2,194.2,3,No
571.45,571.45,9,No
80.25,80.25,1,Yes
5253.95,5253.95,56,No
1149.65,1149.65,17,Yes
740.8,740.8,11,Yes
521.35,521.35,7,No
1412.65,1412.65,69,No
1532.45,1532.45,19,Yes
250.05,250.05,3,Yes
1090.6,1090.6,54,No
1446.8,1446.8,62,No
2282.55,2282.55,24,Yes
4300.45,4300.45,62,No
1111.2,1111.2,17,No
190.1,190.1,9,No
4447.75,4447.75,64,No
143.35,143.35,2,Yes
45.85,45.85,1,Yes
810.2,810.2,16,Yes
1830.05,1830.05,72,No
2820.65,2820.65,30,No
4847.35,4847.35,49,No
4729.3,4729.3,61,No
4017.45,4017.45,47,No
1398.6,1398.6,20,No
2564.3,2564.3,34,Yes
1685.9,1685.9,70,No
5826.65,5826.65,54,No
6066.55,6066.55,61,No
228.4,228.4,3,Yes
270.2,270.2,13,No
1529.2,1529.2,16,Yes
168.6,168.6,3,No
536.35,536.35,25,No
1888.45,1888.45,30,No
629.35,629.35,21,No
45.3,45.3,1,Yes
289.3,289.3,15,Yes
2117.25,2117.25,23,No
4730.9,4730.9,45,No
2033.05,2033.05,24,No
987.95,987.95,11,Yes
45.05,45.05,1,Yes
5744.35,5744.35,56,No
75.8,75.8,1,Yes
19.45,19.45,1,No
523.15,523.15,7,Yes
4805.3,4805.3,55,No
59.05,59.05,2,Yes
6110.75,6110.75,72,No
1596.6,1596.6,45,No
1046.2,1046.2,47,No
4424.2,4424.2,46,Yes
92.75,92.75,2,No
194.55,194.55,2,No
612.1,612.1,12,No
6127.6,6127.6,68,Yes
6671.7,6671.7,69,No
5264.3,5264.3,56,No
303.7,303.7,4,No
4818.8,4818.8,64,No
6448.05,6448.05,59,Yes
7159.05,7159.05,62,No
1574.5,1574.5,63,No
2879.2,2879.2,53,No
86.05,86.05,5,No
4159.45,4159.45,49,No
6638.35,6638.35,62,No
3112.05,3112.05,55,No
7168.25,7168.25,71,No
1326.25,1326.25,72,No
2234.55,2234.55,36,No
495.15,495.15,25,No
8317.95,8317.95,72,No
679.8,679.8,36,No
62.8,62.8,1,No
7544,7544,72,No
1188.25,1188.25,59,No
676.7,676.7,7,Yes
74.1,74.1,1,No
3242.5,3242.5,30,No
1240.15,1240.15,64,No
4111.35,4111.35,63,No
5899.85,5899.85,72,No
632.95,632.95,8,Yes
5193.2,5193.2,62,No
7530.8,7530.8,67,No
270.95,270.95,6,Yes
5460.2,5460.2,70,No
1614.2,1614.2,20,No
402.5,402.5,5,No
1367.75,1367.75,24,No
483.7,483.7,11,Yes
7962.2,7962.2,72,No
3810.8,3810.8,66,No
3533.6,3533.6,45,No
1396.9,1396.9,69,No
1345.55,1345.55,15,Yes
1646.45,1646.45,28,No
8127.6,8127.6,70,Yes
2680.15,2680.15,36,No
1281,1281,16,Yes
1553.9,1553.9,18,Yes
3207.55,3207.55,34,Yes
2049.05,2049.05,42,No
3629.2,3629.2,48,No
5124.55,5124.55,47,Yes
3474.45,3474.45,39,Yes
202.3,202.3,11,No
147.5,147.5,7,No
86.35,86.35,3,No
579,579,8,No
19.45,19.45,1,Yes
3131.55,3131.55,32,No
3928.3,3928.3,60,No
187.75,187.75,10,No
1710.15,1710.15,71,No
76.35,76.35,4,Yes
69.25,69.25,1,Yes
2151.6,2151.6,43,No
5961.1,5961.1,59,Yes
1221.55,1221.55,23,No
1496.45,1496.45,72,No
1292.2,1292.2,22,No
25.15,25.15,1,No
1713.1,1713.1,69,No
1748.9,1748.9,50,No
25.2,25.2,1,Yes
96.45,96.45,2,Yes
1114.55,1114.55,15,No
609.1,609.1,31,No
20.15,20.15,1,Yes
7133.25,7133.25,66,Yes
169.45,169.45,3,Yes
141.6,141.6,8,No
4688.65,4688.65,64,No
563.05,563.05,28,No
5985,5985,57,No
1258.6,1258.6,14,Yes
373.5,373.5,19,No
857.2,857.2,10,Yes
2553.35,2553.35,51,No
4322.85,4322.85,67,No
250.8,250.8,11,No
4549.05,4549.05,72,No
1359.5,1359.5,66,No
1639.3,1639.3,18,Yes
178.85,178.85,9,No
633.85,633.85,9,No
5315.1,5315.1,48,No
735.5,735.5,10,No
889.9,889.9,9,Yes
1290,1290,13,Yes
330.05,330.05,4,Yes
237.95,237.95,4,Yes
6474.4,6474.4,72,No
4421.95,4421.95,51,No
2452.7,2452.7,59,Yes
813.85,813.85,10,Yes
4904.85,4904.85,61,No
4484.05,4484.05,54,No
2033.85,2033.85,33,No
538.2,538.2,27,No
79.2,79.2,1,Yes
2192.9,2192.9,23,No
19.85,19.85,1,No
3858.05,3858.05,45,No
854.8,854.8,39,No
347.4,347.4,5,Yes
5815.15,5815.15,72,No
3970.4,3970.4,58,No
3058.15,3058.15,70,No
6145.2,6145.2,61,No
129.2,129.2,2,No
1165.9,1165.9,46,No
49.95,49.95,1,Yes
1554,1554,22,Yes
4904.25,4904.25,48,No
5632.55,5632.55,64,No
1643.25,1643.25,72,No
740.55,740.55,12,No
3217.55,3217.55,34,Yes
4888.2,4888.2,72,No
2440.25,2440.25,29,No
620.55,620.55,33,No
20.35,20.35,1,No
6840.95,6840.95,62,No
3001.2,3001.2,41,Yes
6254.2,6254.2,64,Yes
319.6,319.6,4,No
1938.05,1938.05,24,No
294.5,294.5,14,No
58.3,58.3,3,No
442.85,442.85,4,Yes
553,553,18,Yes
546.45,546.45,8,No
797.1,797.1,35,No
76,76,1,Yes
1673.8,1673.8,66,No
343.45,343.45,8,No
7412.25,7412.25,71,No
4039,4039,43,No
170.85,170.85,2,Yes
2948.6,2948.6,29,No
1308.4,1308.4,15,Yes
6078.75,6078.75,65,No
3418.2,3418.2,35,No
6603.8,6603.8,64,No
3166.9,3166.9,58,No
865.75,865.75,18,No
6373.1,6373.1,67,No
1177.05,1177.05,63,No
5985.75,5985.75,60,No
732.5,732.5,9,Yes
7869.05,7869.05,70,No
1504.05,1504.05,15,Yes
936.7,936.7,48,No
741.4,741.4,12,No
6585.2,6585.2,71,No
3122.4,3122.4,44,No
50.45,50.45,1,Yes
1088.25,1088.25,45,No
615.35,615.35,23,No
2908.2,2908.2,43,No
739.9,739.9,35,No
593.85,593.85,9,No
1132.75,1132.75,12,Yes
7227.45,7227.45,65,No
193.6,193.6,2,Yes
1291.35,1291.35,27,No
2023.55,2023.55,40,No
349.65,349.65,5,Yes
153.95,153.95,8,No
5458.8,5458.8,58,No
5244.45,5244.45,52,No
154.55,154.55,3,No
4507.15,4507.15,41,No
2031.95,2031.95,20,No
50.05,50.05,1,No
332.45,332.45,4,Yes
473.9,473.9,23,No
106.8,106.8,6,No
152.6,152.6,8,No
1199.4,1199.4,18,No
2555.05,2555.05,52,No
2979.2,2979.2,31,No
654.85,654.85,29,No
3834.4,3834.4,36,No
1534.75,1534.75,16,Yes
4586.15,4586.15,42,No
20.55,20.55,1,Yes
5941.05,5941.05,60,No
424.15,424.15,5,Yes
2234.95,2234.95,22,No
666.75,666.75,36,No
281,281,4,Yes
547.8,547.8,9,No
74.6,74.6,1,No
571.15,571.15,12,No
1756.6,1756.6,23,No
5731.45,5731.45,62,No
3475.55,3475.55,37,Yes
156.85,156.85,8,No
2683.2,2683.2,31,No
896.75,896.75,13,Yes
2407.3,2407.3,24,Yes
4456.65,4456.65,45,No
6998.95,6998.95,69,No
36.8,36.8,2,No
6547.7,6547.7,61,Yes
4346.4,4346.4,41,Yes
2265,2265,44,No
1309.15,1309.15,39,No
4754.3,4754.3,72,No
1235.55,1235.55,13,No
3562.5,3562.5,51,No
7213.75,7213.75,71,No
2082.95,2082.95,22,Yes
102.75,102.75,2,Yes
5914.4,5914.4,56,No
51.25,51.25,1,No
1282.85,1282.85,23,No
4738.85,4738.85,66,No
19.55,19.55,1,No
1775.8,1775.8,19,Yes
795.65,795.65,11,No
145,145,8,Yes
4993.4,4993.4,52,No
61.45,61.45,3,No
4018.55,4018.55,51,No
1146.65,1146.65,15,Yes
6081.4,6081.4,64,No
1478.85,1478.85,37,No
243.65,243.65,13,No
2633.95,2633.95,49,No
4735.35,4735.35,45,No
1247.75,1247.75,18,No
74.7,74.7,1,Yes
3794.5,3794.5,68,No
1008.7,1008.7,54,No
2130.55,2130.55,23,No
1313.55,1313.55,17,Yes
5727.15,5727.15,71,No
1372.9,1372.9,67,No
1203.9,1203.9,14,No
25.8,25.8,1,Yes
1215.1,1215.1,63,No
2877.05,2877.05,41,No
1579.7,1579.7,17,No
5514.95,5514.95,56,No
96.1,96.1,5,No
72.4,72.4,2,Yes
55.25,55.25,3,No
2443.3,2443.3,37,No
1970.5,1970.5,29,Yes
335.4,335.4,8,No
7002.95,7002.95,63,No
158.95,158.95,7,No
293.15,293.15,3,No
1493.75,1493.75,72,No
1093.4,1093.4,19,No
1057.85,1057.85,59,No
190.05,190.05,2,Yes
882.55,882.55,35,No
300.4,300.4,14,No
1025.95,1025.95,14,Yes
1436.95,1436.95,69,No
475,475,7,No
5388.15,5388.15,69,No
5730.15,5730.15,72,No
819.55,819.55,8,Yes
217.1,217.1,4,No
4896.35,4896.35,63,No
1434.1,1434.1,72,No
937.1,937.1,46,No
330.15,330.15,5,Yes
1474.9,1474.9,30,No
6536.5,6536.5,63,No
1128.1,1128.1,60,No
6873.75,6873.75,63,Yes
2199.05,2199.05,25,No
45.85,45.85,1,Yes
457.1,457.1,6,No
566.5,566.5,22,No
2471.6,2471.6,31,No
3107.3,3107.3,39,No
518.3,518.3,26,No
5769.75,5769.75,53,Yes
91.7,91.7,1,Yes
832.3,832.3,12,No
1555.65,1555.65,16,Yes
45.3,45.3,2,No
1790.6,1790.6,39,No
74.95,74.95,1,Yes
246.6,246.6,7,No
261.65,261.65,4,No
898.35,898.35,10,Yes
4509.5,4509.5,55,No
5480.25,5480.25,72,No
653.15,653.15,10,No
1183.05,1183.05,11,No
639.45,639.45,15,No
478.75,478.75,23,No
20.05,20.05,1,No
127.1,127.1,3,Yes
4391.45,4391.45,47,No
270.6,270.6,15,No
6710.5,6710.5,66,Yes
3975.9,3975.9,68,No
1704.95,1704.95,17,Yes
415.95,415.95,7,Yes
950.2,950.2,12,Yes
1497.05,1497.05,21,No
780.15,780.15,21,No
3512.15,3512.15,56,No
273.25,273.25,6,No
3517.9,3517.9,65,No
3375.9,3375.9,42,No
7508.55,7508.55,68,No
1245.05,1245.05,48,No
5347.95,5347.95,50,No
493.65,493.65,7,No
1263.85,1263.85,63,No
385.55,385.55,17,No
3384,3384,42,Yes
84.2,84.2,4,No
1638.7,1638.7,62,No
165.4,165.4,2,Yes
120.25,120.25,2,No
4473.45,4473.45,48,No
520.55,520.55,27,No
5717.85,5717.85,70,No
88.8,88.8,1,Yes
4312.5,4312.5,46,No
2755.35,2755.35,30,Yes
994.55,994.55,15,Yes
6511.25,6511.25,69,No
1218.65,1218.65,65,No
7447.7,7447.7,72,No
1169.35,1169.35,13,Yes
279.5,279.5,17,No
5720.35,5720.35,51,No
3121.45,3121.45,51,No
6468.6,6468.6,72,No
5918.8,5918.8,67,Yes
675.6,675.6,34,No
3521.7,3521.7,67,No
923.1,923.1,49,No
1110.35,1110.35,53,No
1611.65,1611.65,27,No
2293.6,2293.6,23,Yes
5553.25,5553.25,69,No
44.75,44.75,2,No
3029.1,3029.1,35,Yes
3231.05,3231.05,46,No
5129.45,5129.45,54,No
5508.35,5508.35,56,Yes
655.9,655.9,9,Yes
1191.2,1191.2,20,No
866.4,866.4,11,No
2627.2,2627.2,30,No
4741.45,4741.45,68,No
4009.2,4009.2,38,No
1463.45,1463.45,17,Yes
5082.8,5082.8,48,Yes
43.8,43.8,1,No
3707.6,3707.6,63,No
220.45,220.45,3,No
1133.7,1133.7,48,No
1983.15,1983.15,66,No
5746.75,5746.75,68,No
770.6,770.6,17,Yes
134.05,134.05,7,No
6230.1,6230.1,72,No
573.05,573.05,29,No
3419.3,3419.3,37,No
3587.25,3587.25,34,Yes
3541.35,3541.35,42,Yes
3801.3,3801.3,59,No
868.5,868.5,11,Yes
4859.1,4859.1,60,No
1439.35,1439.35,27,No
85.8,85.8,1,Yes
79.1,79.1,1,Yes
592.75,592.75,17,No
1185.95,1185.95,58,No
18.8,18.8,1,No
134.5,134.5,3,Yes
4921.2,4921.2,53,No
901.25,901.25,35,No
5341.8,5341.8,50,Yes
4859.95,4859.95,68,No
1139.2,1139.2,47,No
7082.45,7082.45,65,No
324.6,324.6,5,Yes
4812.75,4812.75,51,Yes
4399.5,4399.5,46,Yes
663.55,663.55,9,No
174.65,174.65,8,No
321.7,321.7,14,No
5125.5,5125.5,45,No
548.9,548.9,8,No
50.15,50.15,1,Yes
7031.3,7031.3,66,No
5016.65,5016.65,72,No
4594.95,4594.95,41,Yes
611.45,611.45,23,No
2384.15,2384.15,29,Yes
319.85,319.85,4,No
153.3,153.3,6,No
7035.6,7035.6,67,No
344.2,344.2,7,No
1431.65,1431.65,56,No
1849.2,1849.2,72,No
6083.1,6083.1,72,No
426.65,426.65,23,No
1655.35,1655.35,35,No
1943.9,1943.9,27,No
1616.15,1616.15,26,Yes
314.95,314.95,12,No
804.85,804.85,40,No
465.7,465.7,7,No
6669.05,6669.05,70,No
1161.75,1161.75,60,No
947.75,947.75,39,No
8375.05,8375.05,72,No
34.7,34.7,1,Yes
3770,3770,54,No
264.8,264.8,3,Yes
4707.85,4707.85,63,No
6152.4,6152.4,71,No
958.1,958.1,42,No
943,943,47,No
6615.15,6615.15,66,Yes
2200.25,2200.25,21,Yes
425.1,425.1,11,No
99.75,99.75,1,Yes
5044.8,5044.8,55,No
6743.55,6743.55,69,No
196.4,196.4,3,No
299.7,299.7,4,Yes
2093.9,2093.9,30,No
417.75,417.75,5,No
1725.4,1725.4,71,No
1620.2,1620.2,29,No
3169.55,3169.55,52,No
5233.25,5233.25,68,No
967.85,967.85,46,No
438.05,438.05,8,No
1421.9,1421.9,72,No
323.15,323.15,17,No
318.6,318.6,3,No
163.7,163.7,2,No
639.65,639.65,9,Yes
2928.5,2928.5,51,No
100.35,100.35,6,No
273.2,273.2,3,No
1608.15,1608.15,17,No
1441.95,1441.95,30,No
2168.15,2168.15,31,No
3618.7,3618.7,45,No
5692.65,5692.65,64,No
59.85,59.85,1,Yes
69.6,69.6,1,Yes
5969.3,5969.3,61,No
19.05,19.05,1,No
418.8,418.8,9,Yes
8100.55,8100.55,72,No
19.5,19.5,1,Yes
313.45,313.45,7,No
6130.95,6130.95,66,No
69.9,69.9,1,Yes
745.3,745.3,40,No
1212.1,1212.1,16,No
183.75,183.75,2,Yes
1583.5,1583.5,67,No
4162.05,4162.05,41,No
1119.9,1119.9,56,No
8013.55,8013.55,72,No
264.85,264.85,3,Yes
1102.4,1102.4,54,No
5832,5832,52,No
4304.5,4304.5,50,No
1178.4,1178.4,14,Yes
1421.75,1421.75,27,No
6827.5,6827.5,72,No
4698.05,4698.05,62,No
654.5,654.5,12,No
3268.05,3268.05,44,No
4362.05,4362.05,54,No
1386.9,1386.9,68,No
415.4,415.4,20,No
2614.1,2614.1,50,No
1513.6,1513.6,58,No
3161.6,3161.6,35,No
80.95,80.95,2,No
4676.7,4676.7,63,No
6526.65,6526.65,58,No
583.3,583.3,27,No
8078.1,8078.1,71,No
3503.5,3503.5,63,No
6669.45,6669.45,71,No
4689.5,4689.5,41,Yes
1201.15,1201.15,13,Yes
143.65,143.65,2,Yes
1292.65,1292.65,68,No
48.75,48.75,1,No
7108.2,7108.2,65,No
1802.55,1802.55,72,No
1505.15,1505.15,28,No
1859.1,1859.1,72,No
168.5,168.5,2,No
390.85,390.85,18,Yes
6339.45,6339.45,60,No
1652.4,1652.4,26,No
71.65,71.65,1,Yes
77.5,77.5,4,Yes
6392.85,6392.85,68,No
3264.5,3264.5,38,Yes
4599.15,4599.15,42,No
1134.25,1134.25,57,No
1621.35,1621.35,54,No
947.3,947.3,12,Yes
2722.2,2722.2,44,No
3058.3,3058.3,42,No
1769.6,1769.6,72,No
6293.75,6293.75,71,No
1761.05,1761.05,19,Yes
1642.75,1642.75,23,No
578.5,578.5,30,No
954.9,954.9,35,No
973.25,973.25,10,Yes
43.85,43.85,1,No
1490.4,1490.4,22,No
280,280,7,No
1901.25,1901.25,36,No
716.4,716.4,34,No
4720,4720,72,No
930.95,930.95,36,No
76.35,76.35,1,Yes
1676.95,1676.95,23,Yes
2642.05,2642.05,32,Yes
6770.85,6770.85,71,No
1835.3,1835.3,23,No
1588.25,1588.25,17,No
75.5,75.5,1,No
258.35,258.35,12,No
1502.25,1502.25,72,No
19.2,19.2,1,No
6929.4,6929.4,72,No
4453.3,4453.3,60,No
3244.4,3244.4,61,No
323.45,323.45,6,No
2661.1,2661.1,32,Yes
2697.4,2697.4,31,Yes
1424.5,1424.5,19,Yes
1401.15,1401.15,72,No
1739.6,1739.6,32,No
5931,5931,65,No
2333.85,2333.85,45,No
949.85,949.85,42,No
572.45,572.45,8,No
696.8,696.8,32,No
1381.8,1381.8,22,No
2572.95,2572.95,57,Yes
47.95,47.95,1,No
45.1,45.1,1,Yes
45,45,1,No
2122.45,2122.45,24,Yes
20.05,20.05,1,Yes
4931.8,4931.8,54,No
116.95,116.95,4,No
6937.95,6937.95,65,Yes
1261.7,1261.7,56,No
3273.8,3273.8,45,No
1415.85,1415.85,71,No
3958.2,3958.2,59,No
2492.25,2492.25,69,No
279.2,279.2,19,No
1083,1083,55,No
755.5,755.5,38,No
402.6,402.6,10,Yes
3252,3252,47,No
68.75,68.75,2,Yes
46.2,46.2,1,Yes
45.15,45.15,1,Yes
43.3,43.3,1,Yes
936.85,936.85,46,No
2250.65,2250.65,38,Yes
3857.1,3857.1,65,No
1441.1,1441.1,19,Yes
4338.6,4338.6,52,Yes
1378.45,1378.45,71,No
45.95,45.95,1,Yes
2566.3,2566.3,52,No
171,171,6,No
1597.4,1597.4,26,No
4744.35,4744.35,48,No
6721.6,6721.6,64,No
247.25,247.25,3,Yes
44.05,44.05,1,No
1734.65,1734.65,72,No
45.55,45.55,1,No
4539.35,4539.35,51,No
804.25,804.25,41,No
5011.15,5011.15,72,No
3574.5,3574.5,43,No
8086.4,8086.4,72,No
4563,4563,47,No
6362.35,6362.35,72,No
67.1,67.1,3,No
70.05,70.05,1,Yes
165.45,165.45,2,Yes
1156.55,1156.55,26,No
1834.15,1834.15,29,No
3653.35,3653.35,35,Yes
1477.65,1477.65,27,No
1706.45,1706.45,24,No
3953.7,3953.7,67,No
1194.3,1194.3,16,Yes
1327.85,1327.85,23,No
419.7,419.7,14,No
21,21,1,Yes
45.1,45.1,1,Yes
207.35,207.35,4,No
1083.7,1083.7,16,No
2007.85,2007.85,46,No
5882.75,5882.75,68,No
2657.55,2657.55,38,No
1527.5,1527.5,30,Yes
378.4,378.4,5,Yes
1612.2,1612.2,17,No
76.65,76.65,4,No
260.7,260.7,12,No
6441.85,6441.85,72,No
266.8,266.8,3,No
5124.6,5124.6,56,Yes
962.25,962.25,41,No
1382.9,1382.9,40,No
571.05,571.05,7,No
1399.35,1399.35,69,No
150,150,7,No
167.2,167.2,5,No
7657.4,7657.4,72,No
865.05,865.05,44,No
6153.85,6153.85,65,No
174.2,174.2,3,No
1269.6,1269.6,24,No
3862.55,3862.55,44,Yes
6352.4,6352.4,72,No
1348.5,1348.5,24,No
50.9,50.9,1,Yes
471.55,471.55,22,No
5931.75,5931.75,70,No
1404.65,1404.65,25,No
726.1,726.1,37,No
1961.6,1961.6,22,No
4194.85,4194.85,59,No
4872.45,4872.45,49,Yes
5118.95,5118.95,47,Yes
658.95,658.95,31,Yes
81.05,81.05,1,No
76.95,76.95,3,No
5809.75,5809.75,53,No
20.2,20.2,1,No
415.9,415.9,20,No
246.5,246.5,3,Yes
996.95,996.95,51,No
3145.15,3145.15,51,No
265.3,265.3,13,No
20.9,20.9,1,No
21.05,21.05,1,No
4576.3,4576.3,63,No
189.1,189.1,3,No
908.15,908.15,46,No
49.8,49.8,1,No
215.2,215.2,8,Yes
1500.95,1500.95,71,No
5099.15,5099.15,55,No
6385.95,6385.95,70,No
159.45,159.45,2,Yes
6885.75,6885.75,67,No
5940.85,5940.85,65,Yes
668.85,668.85,14,No
1916.2,1916.2,20,No
75.35,75.35,1,Yes
75.45,75.45,1,Yes
4613.95,4613.95,49,No
7261.25,7261.25,72,No
2459.8,2459.8,46,No
2048.8,2048.8,24,No
163.55,163.55,5,No
2888.7,2888.7,33,No
2421.6,2421.6,42,No
2292.75,2292.75,23,No
553.4,553.4,8,No
3465.7,3465.7,66,No
1210.4,1210.4,24,Yes
1291.3,1291.3,24,No
5356.45,5356.45,69,Yes
5200.8,5200.8,53,No
3237.05,3237.05,60,No
576.65,576.65,7,Yes
433.75,433.75,20,No
1868.4,1868.4,23,No
5728.55,5728.55,72,No
825.7,825.7,11,Yes
390.4,390.4,21,No
93.55,93.55,1,Yes
2845.15,2845.15,31,No
3894.4,3894.4,57,No
886.4,886.4,45,No
1021.55,1021.55,10,No
5885.4,5885.4,58,Yes
268.4,268.4,14,No
2204.35,2204.35,27,No
1259,1259,14,Yes
309.1,309.1,12,Yes
6398.05,6398.05,69,No
2257.75,2257.75,25,Yes
6287.25,6287.25,58,Yes
1662.05,1662.05,35,No
1350.15,1350.15,16,Yes
3600.65,3600.65,45,No
1329.15,1329.15,17,No
45.7,45.7,1,Yes
422.5,422.5,22,No
69.95,69.95,1,Yes
4627.65,4627.65,67,No
6717.9,6717.9,67,No
97.1,97.1,2,Yes
1710.45,1710.45,23,Yes
637.4,637.4,9,No
117.95,117.95,5,No
2460.55,2460.55,54,No
5464.65,5464.65,57,Yes
2165.05,2165.05,24,Yes
4941.8,4941.8,49,Yes
223.15,223.15,5,Yes
181.1,181.1,2,Yes
341.45,341.45,4,Yes
5731.85,5731.85,70,No
357.75,357.75,5,Yes
4616.1,4616.1,53,No
4533.7,4533.7,47,Yes
589.25,589.25,31,No
750.1,750.1,13,No
1410.25,1410.25,28,No
830.85,830.85,10,Yes
743.5,743.5,38,No
45.3,45.3,1,Yes
7040.85,7040.85,67,Yes
3865.45,3865.45,52,No
6825.65,6825.65,62,No
1340.1,1340.1,16,No
371.65,371.65,5,Yes
1184,1184,12,No
8477.7,8477.7,72,No
7382.85,7382.85,71,No
456.85,456.85,24,No
331.6,331.6,15,No
6056.15,6056.15,67,Yes
134.6,134.6,2,No
125.5,125.5,5,No
1390.6,1390.6,15,Yes
20.2,20.2,1,Yes
2511.3,2511.3,41,No
2737.05,2737.05,43,No
74.3,74.3,1,No
70.6,70.6,1,No
2361.8,2361.8,26,Yes
1730.35,1730.35,22,Yes
6404,6404,71,No
165.35,165.35,7,No
1867.6,1867.6,28,No
1043.3,1043.3,16,No
128.6,128.6,7,No
7455.45,7455.45,69,No
24.7,24.7,1,No
206.15,206.15,3,No
2030.3,2030.3,21,Yes
5869.4,5869.4,69,No
3377.8,3377.8,71,No
1346.2,1346.2,69,No
4946.05,4946.05,48,No
4065,4065,47,Yes
106.55,106.55,2,Yes
4964.7,4964.7,45,No
4085.75,4085.75,51,No
1742.75,1742.75,22,Yes
6224.8,6224.8,72,No
3415.25,3415.25,37,No
6325.25,6325.25,71,No
340.25,340.25,7,Yes
1683.6,1683.6,66,No
3966.3,3966.3,51,No
608.5,608.5,30,No
2896.6,2896.6,34,No
